Item,Qty,Function,Candidate_Class_or_Family,Package_or_Module,Manufacturer,MPN,Supplier_or_Source,Estimated_Unit_Cost_USD,Planning_Status,Notes
Controller,1,Wi-Fi MCU and local application host,ESP32-C3 module family,Castellated RF module,TBD,TBD,TBD,TBD - live sourcing required,PLANNING_ONLY,Exact module and antenna variant require manufacturer integration review
Environmental sensor,1,Temperature and relative-humidity observation,Digital humidity/temperature sensor family,SMD or serviceable module,TBD,TBD,TBD,TBD - live sourcing required,PLANNING_ONLY,Select for accuracy drift response condensation limits and placement guidance
Load-cell ADC,1,Bridge excitation and low-noise conversion,24-bit load-cell ADC family,SMD IC or prototype module,TBD,TBD,TBD,TBD - live sourcing required,PLANNING_ONLY,Selection must document gain rate noise supply and input limits
Load cell,1,Spool platform force sensing,Bar load cell 5 kg class,Four-wire bar sensor,TBD,TBD,TBD,TBD - live sourcing required,PLANNING_ONLY,Final rated load and mounting geometry require mechanical validation
USB connector,1,5 V power and data,USB Type-C receptacle family,SMD connector,TBD,TBD,TBD,TBD - live sourcing required,PLANNING_ONLY,Select hand-assembly-compatible candidate with verified footprint
Input protection,1,USB input ESD and fault protection,Low-voltage protection network,SMD devices,TBD,TBD,TBD,TBD - live sourcing required,PLANNING_ONLY,Topology and ratings depend on selected USB and power architecture
Voltage regulation,1,Generate controller and sensor rail,3.3 V regulator family,SMD IC,TBD,TBD,TBD,TBD - live sourcing required,PLANNING_ONLY,Exact need current and thermal margin depend on selected module
Passives,1 lot,Decoupling bias filtering and indication,Resistor capacitor ferrite and LED classes,Mixed SMD,TBD,TBD,TBD,TBD - live sourcing required,PLANNING_ONLY,Values packages ratings and quantities come from schematic and datasheets
Buttons,1,Physical setup tare and confirmation,Momentary switch family,Through-hole or SMD,TBD,TBD,TBD,TBD - live sourcing required,PLANNING_ONLY,Must remain accessible with non-color-only status feedback
Connectors and test access,1 lot,Load-cell sensor debug and measurements,Keyed headers terminals and test points,Mixed,TBD,TBD,TBD,TBD - live sourcing required,PLANNING_ONLY,Include mating parts and strain relief after interface freeze
Carrier PCB,1,Mount and interconnect electronics,Two-layer custom PCB,KiCad fabrication,TBD,TBD,TBD,TBD - fabrication quote required,PLANNING_ONLY,No design or fabrication quote exists yet
Platform and enclosure,1 set,Support spool and protect electronics,Editable printed or fabricated mechanics,Mechanical assembly,TBD,TBD,TBD,TBD - live sourcing required,PLANNING_ONLY,Material geometry ventilation and fasteners remain design tasks
USB cable and suitable supply,1 set,Provide external SELV 5 V power and host data,Commercial cable and enclosed supply,External item,TBD,TBD,TBD,TBD - live sourcing required,PLANNING_ONLY,Use suitable certified supply and data-capable cable; not part of schematic
Fasteners and load-cell spacers,1 set,Mechanical assembly and force path,Common screws inserts washers and spacers,Mechanical hardware,TBD,TBD,TBD,TBD - live sourcing required,PLANNING_ONLY,Final sizes and quantities depend on editable mechanical design
Calibration reference,1,Known mass for calibration workflow,User-provided traceable-enough hobby reference,External item,TBD,TBD,TBD,TBD - live sourcing required,PLANNING_ONLY,Document actual reference and uncertainty; not included in electronics cost target
